,symbol,strike_spread,lotsize,tv_symbol,fno
198,TATACOMM,20,250,TATACOMM,TRUE
199,TATACONSUM,10,456,TATACONSUM,TRUE
200,TATAELXSI,100,100,TATAELXSI,TRUE
201,TATAMOTORS,10,800,TATAMOTORS,TRUE
202,TATAPOWER,5,1350,TATAPOWER,TRUE
203,TATASTEEL,5,5500,TATASTEEL,TRUE
204,TCS,50,175,TCS,TRUE
205,TECHM,20,600,TECHM,TRUE
206,TIINDIA,50,150,TIINDIA,TRUE
207,TITAN,50,175,TITAN,TRUE
208,TORNTPHARM,50,250,TORNTPHARM,TRUE
209,TRENT,100,100,TRENT,TRUE
210,TVSMOTOR,50,350,TVSMOTOR,TRUE
211,UBL,20,400,UBL,TRUE
212,ULTRACEMCO,100,50,ULTRACEMCO,TRUE
213,UNIONBANK,1,4425,UNIONBANK,TRUE
214,UNITDSPR,20,350,UNITDSPR,TRUE
215,UPL,2147483647,1355,UPL,TRUE
216,VBL,10,875,VBL,TRUE
217,VEDL,10,1150,VEDL,TRUE
218,VOLTAS,20,300,VOLTAS,TRUE
219,WIPRO,5,3000,WIPRO,TRUE
220,YESBANK,1,26000,YESBANK,TRUE
221,ZOMATO,5,2000,ZOMATO,TRUE
222,ZYDUSLIFE,20,900,ZYDUSLIFE,TRUE
223,NIFTY,50,75,NIFTY,TRUE
223,BANKNIFTY,100,30,BANKNIFTY,TRUE
